time, latitude, longitude
09-11-50, 23.726235, 90.383997
09-12-50, 23.727650, 90.386188
09-13-50, 23.729337, 90.385937
09-14-50, 23.730009, 90.385922
09-15-50, 23.732788, 90.384963
09-16-50, 23.735235, 90.384315
09-17-50, 23.737020, 90.383877
09-18-50, 23.739127, 90.383455
09-19-50, 23.740293, 90.382892
09-20-50, 23.741824, 90.383098
09-21-50, 23.745538, 90.381744
09-22-50, 23.745538, 90.381744
09-23-50, 23.745538, 90.381744
09-24-50, 23.745538, 90.381744
09-25-50, 23.756190, 90.375372
09-26-50, 23.756787, 90.374883
09-27-50, 23.758475, 90.376253
09-28-50, 23.758693, 90.380414
09-29-50, 23.758860, 90.384123
09-30-50, 23.758847, 90.384674
09-31-50, 23.759004, 90.388212
09-32-50, 23.759333, 90.389831
09-33-50, 23.761897, 90.389264
09-34-50, 23.761941, 90.389137
09-35-50, 23.762019, 90.389123
09-36-50, 23.762147, 90.389109
09-37-50, 23.762147, 90.389109
09-38-50, 23.764608, 90.388966
09-39-50, 23.769512, 90.389414
09-40-50, 23.775117, 90.389875
09-41-50, 23.776026, 90.393467
09-42-50, 23.776058, 90.393396
09-43-50, 23.776199, 90.393473
09-44-50, 23.783752, 90.399338
09-45-50, 23.787131, 90.400221
09-46-50, 23.789734, 90.400036
09-47-50, 23.790673, 90.400281
09-48-50, 23.792568, 90.400587
09-49-50, 23.793241, 90.400715
09-50-50, 23.793622, 90.400858
09-51-50, 23.795098, 90.401075
09-52-50, 23.800923, 90.402034
09-53-50, 23.802469, 90.402097
09-54-50, 23.804134, 90.402604
09-55-50, 23.805335, 90.402757
09-56-50, 23.806420, 90.402946
09-57-50, 23.807999, 90.403045
09-58-50, 23.810026, 90.403337
09-59-50, 23.813736, 90.403659
10-00-50, 23.815413, 90.404148
10-01-50, 23.817082, 90.406764
10-02-50, 23.817547, 90.412876
10-03-50, 23.819038, 90.415247
10-04-50, 23.821101, 90.418210
10-05-50, 23.822208, 90.419351
10-06-50, 23.827510, 90.420241
10-07-50, 23.829577, 90.419841
10-08-50, 23.829834, 90.419742
10-09-50, 23.835044, 90.418956
10-10-50, 23.842706, 90.414945
10-11-50, 23.849816, 90.409162
10-12-50, 23.850627, 90.408596
10-13-50, 23.852330, 90.406865
10-14-50, 23.858132, 90.402284
